<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.01	00:00:00	27220.56	27250.64	27220.56	27231.58	30	0	826
2026.02.01	00:01:00	27232.06	27246.99	27222.34	27222.91	30	0	826
2026.02.01	00:02:00	27224.80	27294.12	27224.80	27282.67	30	0	826
2026.02.01	00:03:00	27297.54	27299.94	27240.55	27245.19	30	0	826
2026.02.01	00:04:00	27231.32	27239.47	27210.69	27229.86	30	0	826
2026.02.01	00:05:00	27229.74	27265.55	27219.28	27265.55	30	0	826
2026.02.01	00:06:00	27268.99	27331.91	27240.24	27331.91	30	0	826
2026.02.01	00:07:00	27332.20	27354.48	27318.97	27334.59	30	0	826
2026.02.01	00:08:00	27331.95	27360.61	27317.20	27350.17	30	0	826
2026.02.01	00:09:00	27354.93	27395.72	27348.15	27379.55	30	0	826
2026.02.01	00:10:00	27385.48	27425.67	27385.48	27419.15	30	0	826
2026.02.01	00:11:00	27411.67	27423.04	27402.01	27423.04	30	0	826
2026.02.01	00:12:00	27423.72	27423.72	27371.39	27374.56	30	0	826
2026.02.01	00:13:00	27373.16	27373.16	27341.68	27362.09	30	0	826
2026.02.01	00:14:00	27366.74	27366.74	27320.12	27325.52	30	0	826
2026.02.01	00:15:00	27336.51	27362.06	27334.86	27336.30	30	0	826
2026.02.01	00:16:00	27341.67	27355.63	27312.97	27316.60	30	0	826
2026.02.01	00:17:00	27309.92	27317.03	27276.90	27305.20	30	0	826
2026.02.01	00:18:00	27302.45	27315.51	27253.13	27253.13	30	0	826
2026.02.01	00:19:00	27262.52	27281.86	27252.43	27256.08	30	0	826
2026.02.01	00:20:00	27267.26	27307.60	27250.41	27300.58	30	0	826
2026.02.01	00:21:00	27295.44	27311.53	27263.94	27278.48	30	0	826
2026.02.01	00:22:00	27277.34	27322.63	27277.34	27313.75	30	0	826
2026.02.01	00:23:00	27308.95	27338.34	27305.16	27338.34	30	0	826
2026.02.01	00:24:00	27342.46	27348.77	27315.32	27327.24	30	0	826
2026.02.01	00:25:00	27326.86	27328.75	27303.32	27317.49	30	0	826
